sku,name,category,type,short_description,description,specs,brand,pack_size,image,featured,keywords
MOOSE,Air Compressor,Operatory Equipment,Air Compressor,Dental air compressor.,"AMW air compressor supplying clean, dry air for dental operatories.",,AMW,Each,MOOSE.jpg,,"air compressor, dental compressor, operatory air"
M3,Mobilio M3,Operatory Equipment,Mobile Cart,Mobile operatory cart.,"Mobilio M3 mobile cart for convenient operatory setup: lightweight with smooth-rolling wheels, multiple compartments and durable, easy-clean metal construction.",Multi-compartment | metal construction | mobile,AMW,Each,M3.jpg,,"mobile cart, operatory cart, dental workstation, Mobilio M3"
X6,Mobilio X6,Operatory Equipment,Mobile Cart,Mobile operatory cart.,"Mobilio X6 mobile cart for portable operatory setups, with multiple compartments and durable, easy-clean construction.",Multi-compartment | mobile,AMW,Each,X6.jpg,,"mobile cart, operatory cart, dental workstation, Mobilio X6"
4376,Reliance Alternative Arm-Mounted Automatic Control Unit,Operatory Equipment,Arm-Mounted Delivery,Arm-mounted automatic control unit (3 HP).,Reliance alternative arm-mounted automatic control unit with automatic control for up to three handpieces; smooth lines for easy cleaning.,Automatic | arm-mounted | up to 3 HP,DCI,Each,4376.jpg,,"delivery system, arm mounted, automatic control unit, Reliance, 4376"
4128,Reliance Alternative Arm-Mounted Manual Control Unit,Operatory Equipment,Arm-Mounted Delivery,Arm-mounted manual control unit.,Reliance alternative arm-mounted manual control unit for handpiece and syringe delivery on an articulating arm.,Manual | arm-mounted,DCI,Each,4128.jpg,,"delivery system, arm mounted, manual control unit, Reliance, 4128"
4521L,Reliance Cabinet-Mounted Manual Delivery System,Operatory Equipment,Cabinet-Mounted Delivery,Cabinet-mounted manual delivery system.,"Reliance manual dental delivery system configured for cabinet mounting, providing handpiece and syringe delivery from the cabinet.",Manual | cabinet-mounted,DCI,Each,4521L.jpg,,"delivery system, cabinet mounted, manual delivery, Reliance, 4521L"
RO4152,Reliance Chair-Mounted Delivery System,Operatory Equipment,Chair-Mounted Delivery,Chair-mounted delivery system.,Reliance chair-mounted delivery system that adds handpiece and syringe delivery to new or existing chairs.,Chair-mounted,DCI,Each,RO4152.jpg,,"delivery system, chair mounted, Reliance, RO4152"
R4227,Reliance Chair-Mounted Delivery Unit,Operatory Equipment,Chair-Mounted Delivery,Chair-mounted delivery unit.,Reliance chair-mounted delivery unit for over-the-patient handpiece and syringe delivery.,Chair-mounted,DCI,Each,R4227.jpg,,"delivery system, chair mounted, over the patient, Reliance, R4227"
4102,DCI II Manual Control Unit for 2 HP (1 Wet & 1 Dry),Operatory Equipment,Compact Delivery Unit,"Compact manual control head, 2 HP (1 wet/1 dry).","DCI II compact manual control unit supporting two handpieces (one wet, one dry) plus syringe; a space-saving delivery head for retrofits.","Manual | 2 HP (1 wet, 1 dry)",DCI,Each,4102.jpg,,"compact delivery unit, control head, manual unit, 2 HP, DCI II, 4102"
4502,DCI III Manual Control Unit for 2 HP (1 Wet & 1 Dry),Operatory Equipment,Compact Delivery Unit,"Compact manual control head, 2 HP (1 wet/1 dry).","DCI III compact manual control unit supporting two handpieces (one wet, one dry) plus syringe; updated compact delivery head.","Manual | 2 HP (1 wet, 1 dry)",DCI,Each,4502.jpg,,"compact delivery unit, control head, manual unit, 2 HP, DCI III, 4502"
R4511,Reliance Automatic Control Cart for 3 HP,Operatory Equipment,Delivery Cart,"Mobile automatic delivery cart, up to 3 handpieces.","Reliance Series 4 automatic-control mobile delivery cart supporting up to three handpieces (3 HP), with automatic handpiece control, syringe and integrated vacuum.",Automatic control | up to 3 HP,DCI,Each,R4511.jpg,,"delivery cart, automatic cart, mobile cart, 3 HP, Reliance cart, R4511"
R4540,Reliance Automatic Control Cart for 3 HP w/Premium Vacuum,Operatory Equipment,Delivery Cart,"Automatic delivery cart, 3 HP, premium vacuum.",Reliance Series 4 automatic-control mobile delivery cart for up to three handpieces (3 HP) with the premium vacuum package.,Automatic control | up to 3 HP | premium vacuum,DCI,Each,R4540.jpg,,"delivery cart, automatic cart, premium vacuum, 3 HP, Reliance cart, R4540"
4542,Reliance Automatic Control Cart for 3 HP w/Standard Vacuum,Operatory Equipment,Delivery Cart,"Automatic delivery cart, 3 HP, standard vacuum.",Reliance Series 4 automatic-control mobile delivery cart for up to three handpieces (3 HP) with the standard vacuum package.,Automatic control | up to 3 HP | standard vacuum,DCI,Each,4542.jpg,,"delivery cart, automatic cart, standard vacuum, 3 HP, Reliance cart, 4542"
R4245,Reliance Manual Control Cart for 2 HP,Operatory Equipment,Delivery Cart,"Mobile manual delivery cart, up to 2 handpieces.","Reliance Series 4 manual-control mobile delivery cart supporting up to two handpieces (2 HP), with syringe and integrated vacuum; adjustable and easy to reposition in the operatory.",Manual control | up to 2 HP,DCI,Each,R4245.jpg,,"delivery cart, manual cart, mobile cart, 2 HP, Reliance cart, R4245"
R4240,Reliance Manual Control Cart for 2 HP w/Premium Vacuum,Operatory Equipment,Delivery Cart,"Manual delivery cart, 2 HP, premium vacuum.",Reliance Series 4 manual-control mobile delivery cart for up to two handpieces (2 HP) with the premium vacuum package.,Manual control | up to 2 HP | premium vacuum,DCI,Each,R4240.jpg,,"delivery cart, manual cart, premium vacuum, 2 HP, Reliance cart, R4240"
RP4050,"Reliance LED Post Mount Light - Gray, 120V",Operatory Equipment,Operatory Light,"LED post-mount operatory light (gray, 120V).","Reliance LED post-mount operatory light in gray (120V), same platform as the white model: reflective-facet optics, 3rd-axis head rotation and dual touch controls. Mounts to a 2"" pole.","LED | 120V | 17,500-35,000 lux (3 settings) | 5000K | 3""x6"" pattern | mounts to 2"" pole",DCI,Each,RP4050.jpg,,"operatory light, LED dental light, post mount light, gray, Reliance light, RP4050"
RP4000,Reliance LED Post Mount Light - White,Operatory Equipment,Operatory Light,LED post-mount operatory light (white).,"Reliance LED post-mount operatory light with 500+ reflective facets for a uniform pattern, 3rd-axis head rotation and dual touch controls. Mounts to a 2"" pole (not included).","LED 24V 10W | 115V 50/60Hz | 17,500-35,000 lux (3 settings) | 5000K | 3""x6"" pattern | mounts to 2"" pole",DCI,Each,RP4000.jpg,,"operatory light, LED dental light, post mount light, Reliance light, RP4000"
RW4000,Reliance Side Delivery Auto Dental Unit - White,Operatory Equipment,Side Delivery Unit,Automatic side-delivery dental unit (white).,"Reliance automatic side-delivery dental unit (white) including a stainless-steel tray (PN 8013), 8-conductor low-voltage cable and a Precision Comfort syringe. Available left- or right-hand; 4-hole straight Sterling tubing standard.",Automatic | left/right-hand | stainless tray | Precision Comfort syringe | 4-hole tubing,DCI,Each,RW4000.jpg,,"side delivery, automatic dental unit, Reliance, RW4000"
SAR051,Reliance Assistant's Stool,Operatory Equipment,Stool,Series 5 assistant's stool (less upholstery).,"Reliance Series 5 assistant's stool with adjustable seat, body support arm and foot ring for chairside assisting. Supplied less upholstery.",Series 5 | less upholstery,DCI,Each,SAR051.jpg,,"dental stool, assistant stool, Reliance stool, operatory seating, SAR051"
SDR051,Reliance Doctor's Stool,Operatory Equipment,Stool,Series 5 doctor's stool (less upholstery).,Reliance Series 5 doctor's/operator stool with adjustable seat height and backrest. Supplied less upholstery.,Series 5 | less upholstery,DCI,Each,SDR051.jpg,,"dental stool, doctor stool, operator stool, Reliance stool, SDR051"
AI-105,Under Cabinet Mounted Assistant Arm,Operatory Equipment,Assistant Arm,Under-cabinet assistant's instrumentation arm.,"Assistant's arm (AI-105) that mounts under the cabinet to hold HVE, saliva ejector and auxiliary instrumentation.",,Flight Dental Systems,,AI-105.jpg,,"assistant arm, HVE, assistant instrumentation, AI-105"
FSASS-600,Deluxe Assistant Stool,Operatory Equipment,Assistant Stool,Deluxe dental assistant stool.,Deluxe assistant stool with body/foot ring support for chairside assisting.,,Flight Dental Systems,,FSASS-600.jpg,,"assistant stool, dental stool, FSASS-600"
CONT-3002,Continental Delivery System,Operatory Equipment,Delivery System,Continental (hanging-hose) delivery system.,Continental-style delivery system with hanging hoses for doctor instrumentation.,,Flight Dental Systems,,CONT-3002.jpg,,"delivery system, continental delivery, CONT-3002, dental delivery"
RD-2102,Rear Panel Mount Delivery System,Operatory Equipment,Delivery System,Rear panel-mount delivery system.,Panel-mounted rear delivery system for rear-of-patient instrument delivery.,,Flight Dental Systems,,RD-2102.jpg,,"rear delivery, panel mount, RD-2102, delivery system"
RD-3100,Rear Under Cabinet Mount Delivery,Operatory Equipment,Delivery System,Rear under-cabinet-mount delivery system.,"Rear delivery unit that mounts under the cabinet for a clean, ergonomic 12 o'clock setup (RD-3100 / RD-3150).",,Flight Dental Systems,,RD-3100.jpg,,"rear delivery, under cabinet mount, RD-3100, RD-3150, delivery system"
FSDOC-600,Deluxe Doctor Stool,Operatory Equipment,Doctor Stool,Deluxe operator/doctor stool.,Deluxe doctor stool with ergonomic support for extended chairside procedures.,,Flight Dental Systems,,FSDOC-600.jpg,,"doctor stool, operator stool, dental stool, FSDOC-600"
PLANAR,"Planar 24"" Medical Monitor - White",Operatory Equipment,Medical Monitor,24-inch white medical-grade monitor.,Planar 24-inch white medical-grade monitor for chairside display of imaging and patient education.,24 in | white,Flight Dental Systems,,PLANAR.jpg,yes,"medical monitor, 24 inch, white monitor, chairside display"
MC-1302F,Mobile Cart MC-1302F,Operatory Equipment,Mobile Cart,Mobile delivery cart.,Mobile delivery cart configuration for portable operatory setups.,,Flight Dental Systems,,MC-1302F.jpg,,"mobile cart, portable delivery, MC-1302F, dental cart"
MC-1300F,Mobile Cart System MC-1300F,Operatory Equipment,Mobile Cart,Self-contained mobile delivery cart.,"Portable mobile delivery cart for flexible, room-to-room dentistry.",,Flight Dental Systems,,MC-1300F.jpg,,"mobile cart, portable delivery, MC-1300F, dental cart"
MC-1300FC,Mobile Cart with Integrated Compressor,Operatory Equipment,Mobile Cart,Mobile delivery cart with built-in compressor.,"Fully portable mobile cart with an integrated air compressor, ideal for satellite operatories and mobile dentistry.",,Flight Dental Systems,,MC-1300FC.jpg,,"mobile cart, integrated compressor, portable dentistry, MC-1300FC"
FLIGHT-TORCH-LED,Flight Torch LED Light,Operatory Equipment,Operatory Light,Flight Torch LED operatory light.,"Flight Torch LED operatory light delivering bright, shadow-reduced illumination of the oral field.",,Flight Dental Systems,,FLIGHT-TORCH-LED.jpg,,"dental light, operatory light, LED light, Flight Torch"
IRIS-LED,IRIS LED Light,Operatory Equipment,Operatory Light,IRIS LED light with adjustable colour temperature.,"Exclusively distributed IRIS LED light: adjustable colour temperature (4,200-6,000 K) and intensity (8,000-35,000 lux), with no UV/IR radiation and ~50,000-hour LED life.","Colour temp 4,200-6,000 K | Intensity 8,000-35,000 lux | No UV/IR | ~50,000 h LED life",Flight Dental Systems,,IRIS-LED.jpg,,"dental light, operatory light, IRIS LED, adjustable colour temperature"
RETROFIT-LED,Retrofit LED Light System,Operatory Equipment,Operatory Light,Retrofit LED upgrade for existing dental lights.,Retrofit LED light system to upgrade older halogen operatory lights to modern LED illumination.,,Flight Dental Systems,,RETROFIT-LED.jpg,,"retrofit LED, dental light upgrade, operatory light"
A12,A12 Operatory System,Operatory Equipment,Operatory Package,"Complete A12 dental operatory package (chair, delivery, light, cuspidor).","Flagship Flight operatory package built around the A12 patient chair with integrated delivery system, LED light and cuspidor. Configurable upholstery, delivery style and light head.",,Flight Dental Systems,,A12.jpg,yes,"operatory package, dental operatory, A12, patient chair package, treatment room"
A6R,A6 Radius Package,Operatory Equipment,Operatory Package,A6 operatory package with radius delivery configuration.,"Affordable, reliable A6 operatory package in the radius delivery configuration; includes A6 chair, delivery system and light.",,Flight Dental Systems,,A6R.jpg,,"operatory package, A6, radius delivery, dental operatory, treatment room"
A6,A6 Standard Package,Operatory Equipment,Operatory Package,"A6 standard operatory package (chair, delivery, light).",Value-focused A6 operatory package pairing the A6 patient chair with a traditional delivery system and light.,,Flight Dental Systems,,A6.jpg,,"operatory package, A6, dental operatory, treatment room, chair package"
A12-C,A12 Patient Chair,Operatory Equipment,Patient Chair,A12 programmable dental patient chair.,"A12 patient chair with programmable positioning and a choice of upholstery styles (asepsis, seamless, sewn pillowtop) and vinyl/ultraleather colours.",,Flight Dental Systems,,A12-C.jpg,,"dental chair, patient chair, A12, treatment chair"
A6-C,A6 Patient Chair,Operatory Equipment,Patient Chair,A6 dental patient chair.,A6 patient chair offering reliable ergonomics and value for general operatory use.,,Flight Dental Systems,,A6-C.jpg,,"dental chair, patient chair, A6, treatment chair"
FSSAD-605,Saddle Stool with Backrest,Operatory Equipment,Saddle Stool,Saddle stool with backrest.,Saddle stool with added lumbar backrest support for ergonomic seating.,,Flight Dental Systems,,FSSAD-605.jpg,,"saddle stool, backrest, ergonomic stool, FSSAD-605"
FSSAD-601,Single Saddle Stool,Operatory Equipment,Saddle Stool,Single saddle operating stool.,"Single saddle stool promoting a healthy, upright posture at chairside.",,Flight Dental Systems,,FSSAD-601.jpg,,"saddle stool, ergonomic stool, dental stool, FSSAD-601"
FS2SAD-603,Split Saddle Stool,Operatory Equipment,Saddle Stool,Split-seat saddle stool.,Split saddle stool with a divided seat design for pressure relief and posture support.,,Flight Dental Systems,,FS2SAD-603.jpg,,"split saddle stool, ergonomic stool, dental stool, FS2SAD-603"
G450,iTesla G450,Handpieces,Electric Handpiece,Electric contra-angle handpiece.,iTesla G450 electric contra-angle handpiece with ceramic bearings and sealed head design.,,AMW,Each,G450.jpg,,"electric handpiece, contra angle, iTesla G450"
G500,iTesla G500,Handpieces,Electric Handpiece,Electric contra-angle handpiece.,iTesla G500 electric contra-angle handpiece for general restorative use.,,AMW,Each,G500.jpg,,"electric handpiece, contra angle, iTesla G500"
G500-S,iTesla G500-S,Handpieces,Electric Handpiece,Electric contra-angle handpiece.,iTesla G500-S electric contra-angle handpiece for restorative procedures.,,AMW,Each,G500-S.jpg,,"electric handpiece, contra angle, iTesla G500-S"
G600,iTesla G600,Handpieces,Electric Handpiece,Electric contra-angle handpiece.,"iTesla G600 electric handpiece (contra-angle) with a modernized internal body and chuck, ceramic bearings, four-hole Quattro spray, sealed head system and GripMax coating.",Ceramic bearings | Quattro spray | sealed head | GripMax coating,AMW,Each,G600.jpg,,"electric handpiece, contra angle, iTesla G600"
GS,iTesla GS,Handpieces,Electric Handpiece,Electric handpiece.,iTesla GS electric handpiece within AMW's iTesla electric handpiece line.,,AMW,Each,GS.jpg,,"electric handpiece, contra angle, iTesla GS"
MCCARE-X,McCare X,Handpieces,Handpiece Maintenance,Automatic handpiece care system (up to 4).,"McCare X automatic maintenance system that cleans, lubricates and purges up to four handpieces before sterilization. Touchscreen control, handpiece-specific oil volumes and a 1.2 L solution tank.",Up to 4 handpieces | touchscreen | 1.2 L tank,AMW,Each,MCCARE-X.jpg,,"handpiece maintenance, cleaning lubrication, McCare, care system"
G100,AirPeak G100,Handpieces,High-Speed Handpiece,Air-driven high-speed handpiece.,AirPeak G100 air-driven high-speed handpiece for general restorative procedures.,Air driven,AMW,Each,G100.jpg,,"high speed handpiece, air driven, AirPeak G100"
G100-S10H7,AirPeak G100-S10H7,Handpieces,High-Speed Handpiece,Air-driven high-speed handpiece (variant).,AirPeak G100-S10H7 air-driven high-speed handpiece configuration.,Air driven,AMW,Each,G100-S10H7.jpg,,"high speed handpiece, air driven, AirPeak G100"
G200,AirPeak G200,Handpieces,High-Speed Handpiece,Air-driven high-speed handpiece.,AirPeak G200 air-driven high-speed handpiece for everyday restorative work.,Air driven,AMW,Each,G200.jpg,,"high speed handpiece, air driven, AirPeak G200"
MT,AirPeak MT,Handpieces,High-Speed Handpiece,Air-driven high-speed handpiece.,AirPeak MT air-driven high-speed handpiece within the AirPeak line.,Air driven,AMW,Each,MT.jpg,,"high speed handpiece, air driven, AirPeak MT"
PRO200,AirPeak PRO200,Handpieces,High-Speed Handpiece,Air-driven high-speed handpiece.,AirPeak PRO200 air-driven high-speed handpiece for restorative and general procedures.,Air driven,AMW,Each,PRO200.jpg,,"high speed handpiece, air driven, AirPeak PRO200"
PRO500,AirPeak PRO500,Handpieces,High-Speed Handpiece,Air-driven high-speed handpiece.,AirPeak PRO500 air-driven high-speed handpiece for restorative and general procedures.,Air driven,AMW,Each,PRO500.jpg,,"high speed handpiece, air driven, AirPeak PRO500"
X100-S,AirPeak X100-S,Handpieces,High-Speed Handpiece,Air-driven high-speed handpiece.,"AirPeak X100-S air-driven high-speed handpiece delivering quiet, reliable performance for everyday restorative work.",Air driven,AMW,Each,X100-S.jpg,,"high speed handpiece, air driven, AirPeak X100"
X600-MICRO,AirPeak X600-Micro,Handpieces,High-Speed Handpiece,Miniature-head high-speed handpiece.,AirPeak X600-Micro high-speed handpiece with a smaller head for improved access and pediatric/posterior use.,Miniature head,AMW,Each,X600-MICRO.jpg,,"high speed handpiece, mini head, pediatric, AirPeak X600 Micro"
X600-S,AirPeak X600-S,Handpieces,High-Speed Handpiece,"Titanium high-speed handpiece, 27 W torque.","AirPeak X600-S air-driven high-speed handpiece with a pure-titanium body, 27 W torque, four-nozzle Quattro spray, advanced optics and 360° quick-connect (KaVo/NSK back-ends).",27 W torque | titanium | Quattro spray | KaVo/NSK back-ends | 360° swivel,AMW,Each,X600-S.jpg,,"high speed handpiece, titanium handpiece, air driven, AirPeak X600"
C200,AirLED C200,Handpieces,High-Speed Handpiece (LED),LED high-speed handpiece.,AirLED C200 high-speed handpiece with integrated LED illumination.,Integrated LED,AMW,Each,C200.jpg,,"high speed handpiece, LED handpiece, AirLED C200"
X500-S,AirLED X500-S,Handpieces,High-Speed Handpiece (LED),Self-generating LED high-speed handpiece.,"AirLED X500-S high-speed handpiece with a built-in micro-generator powering an integrated Direct-LED+ light (no external fibre optic), four water ports, ceramic bearings and a titanium-treated stainless-steel body.",Integrated micro-generator LED | Quattro spray | ceramic bearings | stainless/titanium body,AMW,Each,X500-S.jpg,,"high speed handpiece, LED handpiece, self generating light, AirLED"
X600-45,AirPeak X600-45,Handpieces,Surgical Handpiece,45-degree surgical high-speed handpiece.,"AirPeak X600-45 45-degree surgical high-speed handpiece for oral surgery, with the X600 platform's titanium build and cooling.",45 degree head | air driven,AMW,Each,X600-45.jpg,,"surgical handpiece, 45 degree, air driven, AirPeak X600-45"
AP-G200,AirPeak™ G200 Automatic IPR Contra-Angle,Handpieces,Auto-IPR Handpiece,Automatic interproximal reduction contra-angle handpiece.,"The AirPeak™ G200 automates interproximal reduction by driving SureFita® IPR strips in a controlled reciprocating motion, delivering consistent, safe enamel reduction for orthodontic and restorative cases.",Contra-angle auto-IPR handpiece; reciprocating drive; pairs with SureFita® IPR strips,AirPeak,1/pk,AP-G200.jpg,,"auto ipr handpiece, interproximal reduction handpiece, ipr contra angle, airpeak g200, orthodontic ipr"
AP-PRO200,AirPeak™ PRO200,Handpieces,Handpiece System,AirPeak™ PRO200 handpiece system.,The AirPeak™ PRO200 is part of Markson's professional air-driven handpiece range. See the Markson brochure for full specification and configuration options.,Air-driven handpiece system; full spec per Markson brochure,AirPeak,1 unit,AP-PRO200.jpg,,"airpeak pro200, dental handpiece system, air driven handpiece"
AP-PRO500,AirPeak™ PRO500,Handpieces,Handpiece System,AirPeak™ PRO500 handpiece system.,The AirPeak™ PRO500 is part of Markson's professional air-driven handpiece range. See the Markson brochure for full specification and configuration options.,Air-driven handpiece system; full spec per Markson brochure,AirPeak,1 unit,AP-PRO500.jpg,,"airpeak pro500, dental handpiece system, air driven handpiece"
AP-X100,AirPeak™ X100 High-Speed Handpiece,Handpieces,High-Speed Handpiece,Compact push-button high-speed handpiece with auto-chuck.,"The AirPeak™ X100 is a high-speed push-button handpiece reaching 350,000 RPM with an auto-chuck for quick, secure bur changes.","Air-driven high-speed; up to 350,000 RPM; push-button auto-chuck",AirPeak,1/pk,AP-X100.jpg,,"high speed handpiece, push button handpiece, auto chuck handpiece, airpeak x100, dental turbine"
AP-X600,AirPeak™ X600 High-Speed Handpiece (KaVo-Style),Handpieces,High-Speed Handpiece,KaVo-style air-driven high-speed handpiece with titanium body.,The AirPeak™ X600 is a KaVo-style high-speed handpiece with a titanium body and GripMax coating that reduces slippage and hand fatigue during long procedures.,Air-driven high-speed; KaVo-style connection; titanium body; GripMax coating; push-button chuck,AirPeak,1/pk,AP-X600.jpg,,"high speed handpiece, kavo style handpiece, dental turbine, airpeak x600, titanium handpiece"
AP-X600S,AirPeak™ X600-S High-Speed Handpiece (NSK-Style),Handpieces,High-Speed Handpiece,"NSK-style titanium high-speed handpiece delivering 27 W at 400,000 RPM.","The AirPeak™ X600-S is an NSK-style titanium high-speed handpiece delivering 27 W of power at up to 400,000 RPM for fast, efficient cutting.","Air-driven high-speed; NSK-style connection; titanium; 27 W; up to 400,000 RPM; push-button",AirPeak,1/pk,AP-X600S.jpg,,"high speed handpiece, nsk style handpiece, dental turbine, 400000 rpm, airpeak x600s, titanium handpiece"
AP-G100FG,AirPeak™ G100-FG Low-Speed Handpiece,Handpieces,Low-Speed Handpiece,"1:1 low-speed handpiece, non-spray / non-optic.","The AirPeak™ G100-FG is a 1:1 low-speed handpiece at 20,000 RPM in a non-spray, non-optic configuration for laboratory and operative tasks.","Air-driven low-speed; 1:1 ratio; 20,000 RPM; non-spray; non-optic",AirPeak,1/pk,AP-G100FG.jpg,,"low speed handpiece, non optic handpiece, 1:1 handpiece, airpeak g100fg, lab handpiece"
